Date;Period;BE;DE;FR;NL;RAM
06/08/2016;15;0.16726;-0.01512;0.09133;-0.16673;1486.4185
06/08/2016;15;0;-0.06722;-0.17336;0;267.8954
06/08/2016;15;-0.14015;-0.06945;-0.14015;0;267.872
06/08/2016;15;0.214;-0.01667;0.09757;-0.09145;1400.2916
06/08/2016;15;-0.11077;-0.04813;-0.05645;0;247.6442
06/08/2016;15;0.22033;0.01866;-0.12096;0.11668;673.9902
06/08/2016;15;-0.13347;-0.08166;-0.13347;0;261.0201
06/08/2016;15;-0.0733;0.00337;-0.03946;-0.23623;594.3083
06/08/2016;15;-0.10892;-0.03384;-0.04277;0;247.9373
06/08/2016;15;-0.10869;-0.0383;-0.04426;0;247.5696
06/08/2016;15;-0.10906;-0.05686;-0.15066;0;267.88
06/08/2016;16;-0.25077;0.01378;-0.08165;-0.23858;1224.6623
06/08/2016;16;-0.10773;-0.03171;-0.04027;0;245.5726
06/08/2016;16;0.17059;0.24742;0.20277;0;562.6725
06/08/2016;16;0.22932;-0.01644;0.09619;-0.0566;1394.9217
06/08/2016;16;0.01507;-0.05405;-0.13076;0;220.5521
06/08/2016;16;0.07766;0.00371;-0.01441;0.03265;269.4992
06/08/2016;16;-0.10233;0.00812;-0.04888;0.27419;785.749
06/08/2016;16;-0.0145;-0.07033;-0.19002;0;297.0979
06/08/2016;16;-0.0537;-0.06258;-0.18292;0;297.4294
06/08/2016;16;-0.12883;-0.06334;-0.12883;0;245.6529
06/08/2016;16;0;-0.07533;-0.1921;0;296.5687
06/08/2016;16;-0.15206;-0.0931;-0.15206;0;296.6596
06/08/2016;16;0.17137;0.24695;0.20545;0;562.5
06/08/2016;16;0.16981;0.2463;0.20544;0;563.2986
06/08/2016;16;0.00583;-0.06385;-0.13564;0;220.5629
